,carparkNo,modelParts
531,GE1G,8
532,GE2,8
533,GE3,8
534,GE5,8
535,GEM,8
536,GEML,8
537,GM1A,8
538,GM1M,8
539,GM2,8
540,GM2A,8
541,GM3,8
542,GM5,8
543,GM6A,8
544,GM6B,8
545,GSM,8
546,GSML,8
547,H0004,8
548,H0015,8
549,H0057,8
550,H12,8
551,H14,8
552,H17,8
553,H18,8
554,H3,8
555,H4,8
556,H6,8
557,H8,8
558,H93L,8
559,HCM,8
560,HE1,8
561,HE12,8
562,HE17,8
563,HE19,8
564,HE24,8
565,HE3,8
566,HE4,8
567,HE9,8
568,HG10,9
569,HG11,9
570,HG12,9
571,HG13,10
572,HG14,10
573,HG15,10
574,HG16,10
575,HG17,10
576,HG18,10
577,HG19,10
578,HG1A,10
579,HG1B,10
580,HG1C,10
581,HG1D,10
582,HG2,10
583,HG20,10
584,HG22,10
585,HG23,10
586,HG24,10
587,HG25,10
588,HG29,10
589,HG2A,10
590,HG2B,10
591,HG2C,10
592,HG2D,10
593,HG30,10
594,HG31,10
595,HG32,10
596,HG33,10
597,HG34,10
598,HG35,10
599,HG36,10
600,HG37,10
601,HG38,10
602,HG39,10
603,HG3B,10
604,HG3D,10
605,HG4,10
606,HG41,10
607,HG42,10
608,HG43,10
609,HG44,10
610,HG45,10
611,HG46,10
612,HG47,10
613,HG48,10
614,HG49,10
615,HG5,10
616,HG50,10
617,HG51,10
618,HG52,10
619,HG53,10
620,HG54,10
621,HG55,10
622,HG56,10
623,HG60,10
624,HG61,10
625,HG62,10
626,HG64,10
627,HG67,10
628,HG68,10
629,HG69,10
630,HG7,10
631,HG70,11
632,HG71,11
633,HG73,11
634,HG74,11
635,HG75,11
636,HG76,11
637,HG77,11
638,HG78,11
639,HG79,11
640,HG80,11
641,HG86,11
642,HG87,11
643,HG88,11
644,HG89,11
645,HG9,11
646,HG90,11
647,HG91,11
648,HG92,11
649,HG93,11
650,HG94,11
651,HG95,11
652,HG96,11
653,HG97,11
654,HG98,11
655,HG99,11
656,HG9T,11
657,HLM,11
658,HR1,11
659,HR2,11
660,HR3,11
661,HR4,11
662,HR5,11
663,HRM,11
664,HVM,11
665,J0017,11
666,J0092,11
667,J0100,11
668,J0122,11
669,J1,11
670,J10,11
671,J11,11
672,J12,11
673,J14,11
674,J15,11
675,J16,11
676,J17,11
677,J18,11
678,J19,11
679,J2,11
680,J20,11
681,J21,11
682,J22,11
683,J23,11
684,J23M,11
685,J24,11
686,J25,11
687,J26,11
688,J27,11
689,J29,11
690,J3,11
691,J32,11
692,J33,11
693,J34,11
694,J35,12
695,J36,12
696,J37,12
697,J38,12
698,J39,12
699,J4,12
700,J40,12
701,J41,12
702,J43,12
703,J44,12
704,J45,12
705,J46,12
706,J47,12
707,J48,12
708,J49,12
709,J49M,12
710,J5,12
711,J50,12
712,J51,12
713,J52,12
714,J53,12
715,J54,12
716,J55,12
717,J56,12
718,J57,12
719,J57L,12
720,J6,12
721,J60L,12
722,J60M,12
723,J61,12
724,J62,12
725,J62M,12
726,J63,12
727,J64,12
728,J65,12
729,J66,12
730,J67,12
731,J68M,12
732,J69,12
733,J7,12
734,J70,12
735,J71,12
736,J72,12
737,J73,12
738,J74,12
739,J74M,12
740,J75M,12
741,J76M,12
742,J77M,12
743,J78M,12
744,J79M,12
745,J8,12
746,J80M,12
747,J81M,12
748,J82M,12
749,J83M,12
750,J84M,12
751,J85M,12
752,J86M,12
753,J88M,12
754,J89M,12
755,J8M,12
756,J9,12
757,J90,13
758,J91,13
759,J92,13
760,J93,13
761,J94,13
762,J95,13
763,J96,13
764,J97,13
765,J98M,13
766,J99M,13
767,JB1,13
768,JB2,13
769,JB3,13
770,JB4,13
771,JBM,13
772,JBM2,13
773,JCM,13
774,JCML,13
775,JKM,13
776,JKS,13
777,JM1,13
778,JM10,13
779,JM11,13
780,JM12,13
781,JM13,13
782,JM14,13
783,JM15,13
784,JM16,13
785,JM17,13
786,JM18,13
787,JM19,13
788,JM2,13
789,JM20,13
790,JM21,13
791,JM22,13
792,JM24,13
793,JM25,13
794,JM26,13
795,JM27,13
796,JM28,13
797,JM29,13
798,JM3,13
799,JM30,13
800,JM31,13
801,JM32,13
802,JM4,13
803,JM5,13
804,JM6,13
805,JM7,13
806,JM9,13
807,JMB1,13
808,JMB2,13
809,JMB3,13
810,JRM,13
811,JRTM,13
812,JS3L,13
813,JS4L,13
814,JSA1,13
815,JSR1,13
816,JSR2,13
817,K0082,13
818,K0111,13
819,K0121,13
820,K10,14
821,K19,14
822,K2,14
823,K2T,14
824,K52,14
825,K7,14
826,KAM,14
827,KAML,14
828,KAS,14
829,KB1,14
830,KB10,14
831,KB11,14
832,KB12,14
833,KB14,14
834,KB17,14
835,KB18,14
836,KB20,14
837,KB3,14
838,KB4,14
839,KB7,14
840,KBM,14
841,KE1,14
842,KE2,14
843,KE3,14
844,KE3M,14
845,KE4,14
846,KEM1,14
847,KJ1,14
848,KJ2,14
849,KJ3,14
850,KJ4,14
851,KJM1,14
852,KJM2,14
853,KJML,14
854,KLM,14
855,KM1,14
856,KM2,14
857,KM3,14
858,KM4,14
859,KTM,14
860,KTM2,14
861,KTM3,14
862,KTM4,14
863,KTM5,14
864,KU1,14
865,KU2,14
866,KU3,14
867,KU4,14
868,KU9,14
869,L0064,14
870,L0078,14
871,L0104,14
872,L0107,14
873,L0116,14
874,L0117,14
875,L0123,14
876,L0124,14
877,L0125,14
878,L1,14
879,LBM,14
880,LT1,14
881,LT2,14
882,LT3,14
883,M0076,15
884,M0078,15
885,M0088,15
886,M1,15
887,M16,15
888,M20,15
889,M25,15
890,M3,15
891,M32,15
892,M33,15
893,M35,15
894,M36,15
895,M37,15
896,M38,15
897,M4,15
898,MLM,15
899,MLM1,15
900,MM1,15
901,MM2,15
902,MM3,15
903,MM4,15
904,MM6,15
905,MN1,15
906,MN2,15
907,MNM,15
908,MNRM,15
909,MP1,15
910,MP12,15
911,MP13,15
912,MP14,15
913,MP15,15
914,MP16,15
915,MP17,15
916,MP19,15
917,MP1M,15
918,MP2,15
919,MP2M,15
920,MP3M,15
921,MP4M,15
922,MP5,15
923,MP5M,15
924,MP5S,15
925,MP6,15
926,MP7,15
927,MPS,15
928,MR4,15
929,MR5,15
930,MR6,15
931,MR7,15
932,N0006,15
933,N0012,15
934,N0013,15
935,NBRM,15
936,NT1,15
937,NT2,15
938,NT3,15
939,NT4,15
940,NTL,15
941,O0028,15
942,P0048,15
943,P0054,15
944,P0093,15
945,P0094,15
946,P0096,16
947,P0106,16
948,P0109,16
949,P0111,16
950,P0113,16
951,P0117,16
952,P1,16
953,P11,16
954,P12,16
955,P13,16
956,P14,16
957,P15,16
958,P16,16
959,P17,16
960,P2,16
961,P3,16
962,P34L,16
963,P35L,16
964,P4,16
965,P40L,16
966,P5,16
967,P5L,16
968,P6,16
969,P6L,16
970,P7,16
971,P8,16
972,P9,16
973,PD8W,16
974,PDC4,16
975,PDJ3,16
976,PDP4,16
977,PDQ5,16
978,PDW5,16
979,PDW8,16
980,PL10,16
981,PL11,16
982,PL12,16
983,PL14,16
984,PL15,16
985,PL16,16
986,PL17,16
987,PL18,16
988,PL19,16
989,PL20,16
990,PL21,16
